ID,PALABRA,MASCULINO,FEMENINO
456,perfecta,21,33
459,linda,42,64
413,dele,1,2
467,robe,5,5
452,pudiera,7,8
434,gente,228,255
433,salio,24,22
311,hombre,62,88
427,estamos,111,94
414,pena,56,72
361,porque,314,407
435,estos,99,92
458,pereza,25,35
1820,oposicion,18,2
1877,hagamos,8,12
415,pasa,90,122
355,todavia,31,41
2879,afuera,5,16
388,quieres,76,95
445,habla,42,53
436,meses,41,49
397,digo,43,44
460,care,3,6
375,pa,102,98
352,otra,112,131
181,eso,268,327
416,tiempo,217,263
1881,hashtag,10,5
1870,ivancepedacast,8,2
430,muertos,26,19
1874,terrorista,8,3
447,ricas,3,2
405,you,165,225
404,loviu,0,3
6114,jalebogar,0,2
2880,clarooooo33,0,1
1880,acuerdo,48,36
463,solito,2,6
409,capaz,12,25
470,fletes,0,1
509,queden,2,6
2889,over,22,10
511,zancudos,2,1
1884,diosdado,6,1
6129,uffffffffff,0,1
475,mantendria,0,1
522,rapidas,1,1
515,bajan,6,2
2895,88,7,5
480,reprima,0,1
1885,investigado,5,0
512,oraciones,2,7
2902,dicho,28,17
6128,pasajes,0,2
527,hecha,8,5
2897,vagancia,0,2
517,claritas,0,1
2892,afu,0,1
529,nervios,2,7
2882,poca,8,12
491,fav,32,30
2904,electricaribe,8,6
482,sabia,18,31
2884,aguante,8,9
2886,nanpa,0,2
526,ignorante,4,1
508,otros,44,58
503,adulto,1,7
501,1112014,0,1
519,prefieres,2,5
518,desespera,0,2
513,suben,8,7
510,malditos,4,6
493,pertinente,1,1
2893,racry,0,1
2898,productivo,6,4
494,tenga,38,49
2901,karen,1,4
504,trabajador,5,4
473,fueran,5,11
492,crees,14,19
2905,millon,3,6
523,coll,0,1
524,majulibapez,0,1
500,primero,37,24
477,fines,6,8
528,punado,0,1
2903,m,8,25
532,cuidamelo,0,1
533,78wilsondelgado,0,1
476,desparchada,1,1
364,cabello,11,13
502,algunas,28,30
2900,falsa,13,12
1887,estadounidenses,4,1
474,reales,9,5
6130,lindaaa,0,3
534,viajar,20,19
2890,aldeanos,0,1
521,dolorosas,0,2
6127,ahorro,2,2
498,capuccino,0,1
483,queria,27,27
1886,agencias,4,0
2883,tolerancia,3,3
2888,agota,1,2
490,alone,2,3
489,forever,5,12
2894,baby,20,11
2887,basico,1,3
471,inventan,1,4
2885,estupidos,6,4
506,cool,5,5
520,verdades,5,4
484,sabiendolo,1,3
485,dejaba,1,4
479,nn,0,3
6131,nenacarolina,0,1
525,burlo,0,2
486,emocionarse,1,3
487,escribia,1,2
351,estas,166,175
421,bendiga,35,23
535,antes,89,81
2891,rodriguez,17,13
448,cancion,53,73
2899,cule,4,7
408,saber,91,96
497,color,19,28
495,cita,8,11
2896,cabo,6,8
429,tristes,13,15
472,cada,214,263
1891,rodar,3,1
6133,herreraqu,0,1
